cost	size	alcohol	color	aroma	taste
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
10	15	20	40	30	50
100	70	50	75	60	80
65	30	35	80	60	90
0	0	20	80	90	100
10	25	10	50	40	60
25	35	30	45	30	65
5	10	15	50	65	85
20	5	10	60	50	95
15	10	25	95	80	100
