,1stFlrSF,2ndFlrSF,CentralAir,Id,LotFrontage,SaleCondition,SalePrice,missing_second_floor,total_sf,normalized_total_sf,CentralAir_bool
0,856,854.0,Y,1,65.0,normal,208500,False,1710.0,0.6819555250373939,True
1,1262,0.0,Y,2,80.0,normal,181500,False,1262.0,-0.36247347437971383,True
2,920,866.0,Y,3,68.0,normal,223500,False,1786.0,0.8591354445813675,True
3,961,756.0,Y,4,60.0,abnormal,140000,False,1717.0,0.6982747281532862,True
4,1145,1053.0,Y,5,84.0,normal,250000,False,2198.0,1.819637113688172,True
5,796,566.0,Y,6,85.0,normal,143000,False,1362.0,-0.129342001295538,True
6,1694,0.0,Y,7,75.0,normal,307000,False,1694.0,0.6446544893439258,True
7,1107,983.0,Y,8,73.60526315789474,normal,200000,False,2090.0,1.5678551227572621,True
8,1022,752.0,Y,9,51.0,abnormal,129900,False,1774.0,0.8311596678112664,True
9,1077,0.0,Y,10,50.0,normal,118000,False,1077.0,-0.7937666995854391,True
10,1040,0.0,Y,11,70.0,normal,129500,False,1040.0,-0.8800253446265841,True
11,1182,1142.0,Y,12,85.0,Partial,345000,False,2324.0,2.1133827697742333,True
12,912,0.0,Y,13,73.60526315789474,normal,144000,False,912.0,-1.1784336301743292,True
13,1494,0.0,Y,14,91.0,Partial,279500,False,1494.0,0.1783915431755741,True
14,1253,0.0,Y,15,73.60526315789474,normal,157000,False,1253.0,-0.38345530695728963,True
15,854,0.0,Y,16,51.0,normal,132000,False,854.0,-1.3136498845631512,True
16,1004,0.0,Y,17,73.60526315789474,normal,149000,False,1004.0,-0.9639526749368874,True
17,1296,0.0,Y,18,72.0,normal,90000,False,1296.0,-0.283208773531094,True
18,1114,0.0,Y,19,66.0,normal,159000,False,1114.0,-0.707508054544294,True
19,1339,0.0,Y,20,70.0,abnormal,139000,False,1339.0,-0.18296224010489842,True
20,1158,1218.0,Y,21,101.0,Partial,325300,False,2376.0,2.234611135778005,True
21,1108,0.0,Y,22,57.0,normal,139400,False,1108.0,-0.7214959429293446,True
22,1795,0.0,Y,23,75.0,normal,230000,False,1795.0,0.8801172771589434,True
23,1060,0.0,Y,24,44.0,normal,129900,False,1060.0,-0.833399050009749,True
24,1060,0.0,Y,25,73.60526315789474,normal,154000,False,1060.0,-0.833399050009749,True
25,1600,0.0,Y,26,110.0,normal,256300,False,1600.0,0.42551090464480046,True
26,900,0.0,Y,27,60.0,normal,134800,False,900.0,-1.2064094069444302,True
27,1704,0.0,Y,28,98.0,normal,306000,False,1704.0,0.6679676366523434,True
28,1600,0.0,Y,29,47.0,normal,207500,False,1600.0,0.42551090464480046,True
29,520,0.0,N,30,60.0,normal,68500,False,520.0,-2.0923090046642985,False
30,649,668.0,N,31,50.0,normal,40000,False,1317.0,-0.2342511641834171,False
31,1228,0.0,Y,32,73.60526315789474,normal,149350,False,1228.0,-0.4417381752283336,True
32,1234,0.0,Y,33,85.0,normal,179900,False,1234.0,-0.42775028684328303,True
33,1700,0.0,Y,34,70.0,normal,165500,False,1700.0,0.6586423777289763,True
34,1561,0.0,Y,35,60.0,normal,277500,False,1561.0,0.3345896301419719,True
35,1132,1320.0,Y,36,108.0,normal,309000,False,2452.0,2.4117910553219786,True
36,1097,0.0,Y,37,112.0,normal,145000,False,1097.0,-0.7471404049686039,True
37,1297,0.0,Y,38,74.0,normal,153000,False,1297.0,-0.2808774588002523,True
38,1057,0.0,Y,39,68.0,abnormal,109000,False,1057.0,-0.8403929942022743,True
39,1152,0.0,N,40,65.0,AdjLand,82000,False,1152.0,-0.6189180947723072,False
40,1324,0.0,Y,41,84.0,abnormal,160000,False,1324.0,-0.2179319610675248,True
41,1328,0.0,Y,42,115.0,normal,170000,False,1328.0,-0.20860670214415777,True
42,884,0.0,Y,43,73.60526315789474,normal,144000,False,884.0,-1.2437104426378984,True
0,938,236.69767441860466,Y,44,73.60526315789474,normal,130250,True,1174.6976744186047,0.6819555250373939,True
1,1150,236.69767441860466,Y,45,70.0,normal,141000,True,1386.6976744186047,-0.36247347437971383,True
2,1752,236.69767441860466,Y,46,61.0,normal,319900,True,1988.6976744186047,0.8591354445813675,True
